transaction_id,row_number,date,initials,source,company,amount,status,matched_source,target_sheet,target_header,confidence,processing_notes,filed_date
28db552f73cb,958,04/02/25,JJN2,WALMART,PUFFIN,-45.7,low_confidence,WALMART,PUFFIN C.O.G.,WALMART,1.0,Matched to 'WALMART' with confidence 1.0,2025-07-20 20:08:04
363cc9ec87b4,960,04/02/25,JJN2,HOME DEPOT,PUFFIN,-155.79,low_confidence,HOME DEPOT,PUFFIN C.O.G.,HARDWARE,1.0,Matched to 'HOME DEPOT' with confidence 1.0,2025-07-20 20:08:04
9d6c4f426480,1033,04/09/25,GSW,PURE LABS,PUFFIN,-1000.0,low_confidence,PURE LABS,PUFFIN C.O.G.,TESTING,1.0,Matched to 'PURE LABS' with confidence 1.0,2025-07-20 20:08:58
28db552f73cb,958,04/02/25,JJN2,WALMART,PUFFIN,-45.7,high_confidence,WALMART,PUFFIN C.O.G.,WALMART,1.0,Matched to 'WALMART' with confidence 1.0,2025-07-21 14:06:51
363cc9ec87b4,960,04/02/25,JJN2,HOME DEPOT,PUFFIN,-155.79,high_confidence,HOME DEPOT,PUFFIN C.O.G.,HARDWARE,1.0,Matched to 'HOME DEPOT' with confidence 1.0,2025-07-21 14:06:51
9d6c4f426480,1033,04/09/25,GSW,PURE LABS,PUFFIN,-1000.0,high_confidence,PURE LABS,PUFFIN C.O.G.,TESTING,1.0,Matched to 'PURE LABS' with confidence 1.0,2025-07-21 14:06:52
28db552f73cb,958,04/02/25,JJN2,WALMART,PUFFIN,-45.7,high_confidence,WALMART,PUFFIN C.O.G.,WALMART,1.0,Matched to 'WALMART' with confidence 1.0,2025-07-21 15:13:16
363cc9ec87b4,960,04/02/25,JJN2,HOME DEPOT,PUFFIN,-155.79,high_confidence,HOME DEPOT,PUFFIN C.O.G.,HARDWARE,1.0,Matched to 'HOME DEPOT' with confidence 1.0,2025-07-21 15:13:16
9d6c4f426480,1033,04/09/25,GSW,PURE LABS,PUFFIN,-1000.0,high_confidence,PURE LABS,PUFFIN C.O.G.,TESTING,1.0,Matched to 'PURE LABS' with confidence 1.0,2025-07-21 15:13:17
28db552f73cb,958,04/02/25,JJN2,WALMART,PUFFIN,-45.7,high_confidence,WALMART,PUFFIN C.O.G.,WALMART,1.0,Matched to 'WALMART' with confidence 1.0,2025-07-21 15:51:39
363cc9ec87b4,960,04/02/25,JJN2,HOME DEPOT,PUFFIN,-155.79,high_confidence,HOME DEPOT,PUFFIN C.O.G.,HARDWARE,1.0,Matched to 'HOME DEPOT' with confidence 1.0,2025-07-21 15:51:39
9d6c4f426480,1033,04/09/25,GSW,PURE LABS,PUFFIN,-1000.0,high_confidence,PURE LABS,PUFFIN C.O.G.,TESTING,1.0,Matched to 'PURE LABS' with confidence 1.0,2025-07-21 15:51:40
920,958,04/02/25,JJN2,WALMART,PUFFIN,-45.7,high_confidence,WALMART,PUFFIN C.O.G.,WALMART,1.0,Matched to 'WALMART' with confidence 1.0,2025-07-21 16:20:24
921,960,04/02/25,JJN2,HOME DEPOT,PUFFIN,-155.79,high_confidence,HOME DEPOT,PUFFIN C.O.G.,HARDWARE,1.0,Matched to 'HOME DEPOT' with confidence 1.0,2025-07-21 16:20:24
993,1033,04/09/25,GSW,PURE LABS,PUFFIN,-1000.0,high_confidence,PURE LABS,PUFFIN C.O.G.,TESTING,1.0,Matched to 'PURE LABS' with confidence 1.0,2025-07-21 16:20:25
28db552f73cb,958,04/02/25,JJN2,WALMART,PUFFIN,-45.7,high_confidence,WALMART,PUFFIN C.O.G.,WALMART,1.0,Matched to 'WALMART' with confidence 1.0,2025-07-21 17:31:59
363cc9ec87b4,960,04/02/25,JJN2,HOME DEPOT,PUFFIN,-155.79,high_confidence,HOME DEPOT,PUFFIN C.O.G.,HARDWARE,1.0,Matched to 'HOME DEPOT' with confidence 1.0,2025-07-21 17:31:59
9d6c4f426480,1033,04/09/25,GSW,PURE LABS,PUFFIN,-1000.0,high_confidence,PURE LABS,PUFFIN C.O.G.,TESTING,1.0,Matched to 'PURE LABS' with confidence 1.0,2025-07-21 17:32:00
28db552f73cb,958,04/02/25,JJN2,WALMART,PUFFIN,-45.7,high_confidence,WALMART,PUFFIN C.O.G.,WALMART,1.0,Matched to 'WALMART' with confidence 1.0,2025-07-21 18:15:50
363cc9ec87b4,960,04/02/25,JJN2,HOME DEPOT,PUFFIN,-155.79,high_confidence,HOME DEPOT,PUFFIN C.O.G.,HARDWARE,1.0,Matched to 'HOME DEPOT' with confidence 1.0,2025-07-21 18:15:50
9d6c4f426480,1033,04/09/25,GSW,PURE LABS,PUFFIN,-1000.0,high_confidence,PURE LABS,PUFFIN C.O.G.,TESTING,1.0,Matched to 'PURE LABS' with confidence 1.0,2025-07-21 18:15:51
28db552f73cb,958,04/02/25,JJN2,WALMART,PUFFIN,-45.7,high_confidence,WALMART,PUFFIN C.O.G.,WALMART,1.0,Matched to 'WALMART' with confidence 1.0,2025-07-21 18:28:31
363cc9ec87b4,960,04/02/25,JJN2,HOME DEPOT,PUFFIN,-155.79,high_confidence,HOME DEPOT,PUFFIN C.O.G.,HARDWARE,1.0,Matched to 'HOME DEPOT' with confidence 1.0,2025-07-21 18:28:31
9d6c4f426480,1033,04/09/25,GSW,PURE LABS,PUFFIN,-1000.0,high_confidence,PURE LABS,PUFFIN C.O.G.,TESTING,1.0,Matched to 'PURE LABS' with confidence 1.0,2025-07-21 18:28:32
28db552f73cb,958,04/02/25,JJN2,WALMART,PUFFIN,-45.7,high_confidence,WALMART,PUFFIN C.O.G.,WALMART,1.0,Matched to 'WALMART' with confidence 1.0,2025-07-21 19:46:54
363cc9ec87b4,960,04/02/25,JJN2,HOME DEPOT,PUFFIN,-155.79,high_confidence,HOME DEPOT,PUFFIN C.O.G.,HARDWARE,1.0,Matched to 'HOME DEPOT' with confidence 1.0,2025-07-21 19:46:54
9d6c4f426480,1033,04/09/25,GSW,PURE LABS,PUFFIN,-1000.0,high_confidence,PURE LABS,PUFFIN C.O.G.,TESTING,1.0,Matched to 'PURE LABS' with confidence 1.0,2025-07-21 19:46:54
